ufa_player_id,norm_name,reason,club,evidence
jmiller,jacob miller,ambiguous,southern hospitality,jersey:0 years:2
jmoore1,josh moore,ambiguous,rhino slam!,city:portland jersey:12 years:2
jmorris,josh morris,no-corroboration,,
jmorris1,jon morris,no-match,,
jnelson,jack nelson,ambiguous,mad men,city:madison jersey:29 years:5
jnorden,justin norden,no-corroboration,,
joconnell1,jimi oconnell,no-match,,
jouellett,joe ouellette,no-match,,
jpardo,james pardo,ambiguous,colt,jersey:40 years:1
jpollard,james pollard,ambiguous,phoenix f.c.,city:philadelphia jersey:17 years:1
jraatz,jake raatz,no-match,,
jradack,jake radack,no-match,,
jreinhard,jake reinhardt,ambiguous,gamble,city:dallas jersey:7 years:2
jrichards,joe richards,no-corroboration,,
jrobinson,jeffrey robinson,no-match,,
jsifakis,joe sifakis,no-match,,
jsillivan,jonathan sillivant,ambiguous,space force,years:1
jsilverma,jeffrey silverman,no-match,,
jsimpson,joseph simpson,no-match,,
jsmith,jacob smith,ambiguous,revolver,jersey:12 years:1
jsmith2,jordan smith,ambiguous,washington (sundodgers),city:seattle years:2
jsogno,joe sogno,no-match,,
jspratt,jordan spratt,no-corroboration,,
jsteen,jake steen,no-match,,
jszmanda,jan szmanda,no-corroboration,,
jtalerman,jay talerman,no-match,,
jtaylor,jordan taylor,ambiguous,h.i.p,city:houston years:4
jtaylor2,jonah taylor,no-corroboration,,
jtaylor3,jordan taylor,ambiguous,h.i.p,city:houston
jthachet,joe thachet,no-match,,
jthompson,joe thompson,no-corroboration,,
jturcotte,jake turcotte,no-match,,
jvicek,jackson vicek,no-match,,
jweis,jeff weis,no-match,,
jwilson,joshua wilson,ambiguous,mad udderburn,city:madison jersey:9 years:2
jwinn,justin winn,no-corroboration,,
jwylie,joey wylie,no-match,,
jyant,jacob yant,no-corroboration,,
jzhou,jeff zhou,no-match,,
jzuraw,jimmy zuraw,no-match,,
kbrown,kevin brown,ambiguous,madison club,city:madison jersey:92
kchao,kevin chao,no-corroboration,,
kdelorenz,kai delorenzo,ambiguous,zoboomafoo,city:madison jersey:14 years:1
kfarrell,kevin farrell,ambiguous,sawtooth,jersey:36 years:1
kjohnson,kyle johnson,ambiguous,mischief,jersey:16 years:3
kkoo,kj koo,no-match,,
kmarshall1,keven marshall,no-corroboration,,
kmirabale,kevin mirabal-evans,no-match,,
kobrien,kevin obrien,ambiguous,league of shadows,jersey:51
kpignone,kevin pignone,ambiguous,north carolina (darkside),jersey:51 years:2
kponzio,kuochuan ponzio,ambiguous,rhino slam!,city:portland jersey:23 years:2
kstevens,kyle stevens,no-corroboration,,
ktaylor,kennith taylor,no-match,,
kwells,ken wells,no-match,,
ldufour,logan dufour,no-corroboration,,
lford,liv ford,no-match,,
lolson,lyra olson,ambiguous,brunch club,jersey:3 years:1
lpepper,leo pepper,no-match,,
lramirez,leander ramirez,no-match,,
lsearlesb,liam searles bohs,no-match,,
marcata,mike arcata,no-match,,
mayad,max ayad,no-match,,
mbarcello,matt barcellos,no-match,,
mbartley,matthew bartley,no-match,,
mbecich,mike becich,no-match,,
mbennett1,matt bennett,no-match,,
mblaha,mitchell blaha,ambiguous,foggy bottom boys,jersey:34 years:1
mbristol,matthew bristol,no-match,,
mbrouwer,maarten brouwer,no-match,,
mburke1,matthew burke,no-match,,
mcampanel,mike campanella,no-match,,
mchambers,matt chambers,ambiguous,texas (tuff),city:austin jersey:35 years:3
mcoe,maxwell coe,no-match,,
mcruz,martin cruz,no-match,,
mdehnbost,michael dehnbostel,no-match,,
mdevine,max devine,no-match,,
mdewey,marco dewey,ambiguous,the incline,years:1
mdrost,mike drost,no-match,,
mellis,matt ellis,no-match,,
mevans,mark evans,ambiguous,doublewide,city:austin years:2
mfinke,michael finke,no-match,,
mfredrick,matthew fredrickson,no-match,,
mfreystae,mischa freystaetter,no-corroboration,,
mgaleano,mauricio galeano,no-match,,
mgiere,michael giere,no-corroboration,,
mgoetsch,matt goetsch,no-match,,
mgrinde,matt grinde,no-match,,
mgrove,max grove,no-match,,
mgrovic,miles grovic,ambiguous,maryland (maryland ultimate),jersey:37 years:4
mhamilton,max hamilton,no-match,,
mhanna,matt hanna,no-match,,
mhudspith,matt hudspith,no-match,,
mjohnson,matthew johnson,ambiguous,blueprint,years:2
mjohnson2,michael johnson,ambiguous,berry (bucks),years:1
mkammerma,max kammerman,no-match,,
mkishi,matt kishi,no-match,,
mlee1,michael lee,ambiguous,toro,jersey:24 years:2
mlee2,marcus lee,ambiguous,truck stop,jersey:28 years:1
mlemaitre,matt lemaitre,no-match,,
mlemar,matt lemar,no-match,,
mlopez,max lopez,no-match,,
mlutz,mitch lutz,no-match,,
mmackenzi,mike mackenzie,no-match,,
mmccarthy,mitchell mccarthy,no-match,,
mmcdonald,matt mcdonald,no-match,,
mmcdonnel,rowan mcdonnell,no-match,,
mmiller1,matt miller,ambiguous,socal condors,jersey:2;20 years:5
mmoranrub,mario moran rubiano,no-match,,
mmunoz,marc munoz,no-match,,
mntende,michael ntende,no-corroboration,,
mobrien2,mikey obrien,no-match,,
mpannone,mike pannone,no-match,,
mpetersen,michael petersen,no-match,,
mrovner,marc rovner,no-match,,
mrussnogl,matt russnogle,no-match,,
msample,max sample,no-match,,
msanchez,marcelo sanchez,no-match,,
msquires,max squires,no-corroboration,,
mstevens,matt stevens,no-match,,
mtheologi,matt theologidy,no-corroboration,,
mtran1,max tran,no-match,,
muran,matt uran,no-match,,
mviscido,matt viscido,no-match,,
mwalsh,mickey walsh,no-match,,
mweintrau,matt weintraub,no-match,,
mwilliams,max williams,ambiguous,california (california-berkeley),jersey:87 years:2
mwilson,matthew wilson,ambiguous,toro,jersey:34 years:1
mwitkam,morris witkam,no-match,,
nakers,nicholas akers,no-match,,
nastrom,nate astrom,no-match,,
nchaouch,nabil chaouch,no-match,,
ndick,nathanial dick,no-match,,
ndunbar,nicholas dunbar,no-corroboration,,
ngagnon,nicolas gagnon,no-match,,
ngoff,nate goff,no-match,,
nhuffman,nick huffman,no-match,,
nhutton,nick hutton,no-match,,
nknutson,nate knutson,no-match,,
nlanas,nic lanas,no-match,,
nmachak,nate machak,no-match,,
nnagel,nick nagel,no-match,,
nneid,nick neid,no-match,,
npappas,nick pappas,no-match,,
npettyjoh,nate pettyjohn,no-match,,
nphillips,nick phillips,ambiguous,flash flood,jersey:25 years:1
nransom,nate ransom,no-match,,
nredmond,nick redmond,no-match,,
nrobinson,noah robinson,ambiguous,pittsburgh (en sabah nur),city:pittsburgh jersey:21
nsnuszka,nicholas snuszka,ambiguous,shame.,jersey:52 years:3
nthompson,nick thompson,no-match,,
nvogt,nick vogt,no-match,,
nwhitlock,nicholas whitlock,no-match,,
nwilliams,nathan williams,ambiguous,bullet train,jersey:79 years:1
nwilson,natalie wilson,ambiguous,weird,jersey:96
nwipfler,nate wipfler,no-match,,
ofay,oliver fay,ambiguous,doublewide,city:austin jersey:41 years:2
ofreed,owen freed,no-match,,
omccall,ollie mccall,no-match,,
orobinson,owen robinson,ambiguous,goat,city:toronto jersey:27 years:3
oshaff,owen shaff,no-corroboration,,
osmith,owen smith,ambiguous,texas (tuff),city:austin jersey:5 years:1
pbarron,pat barron,no-match,,
pchang,phil chang,no-match,,
pdoughert,patrick dougherty,ambiguous,dirty bird,city:atlanta
pearles,pat earles,no-match,,
pjohnson,peter johnson,ambiguous,washington (sundodgers),city:seattle jersey:27 years:2
plavallee,pat lavallee,no-match,,
pschock,peyton schock,no-corroboration,,
pshriwise,pat shriwise,no-match,,
pturner,phil turner,no-match,,
pwu,penny wu,no-match,,
pzaccardi,pete zaccardi,no-match,,
qbergeron,quinn bergeron,no-corroboration,,
qgarner,quinn garner,ambiguous,north carolina-wilmington (seamen),jersey:19 years:1
rcopemusl,ramzi cope-musleh,ambiguous,raleigh-durham united,jersey:13 years:2
rdavenpor1,robby davenport,no-match,,
rdavenpor2,robert davenport,ambiguous,colonels,jersey:90 years:1
rdinger,ryan dinger,ambiguous,dig,city:boston jersey:12 years:2
relston,robert elston,no-match,,
rhayes,raphy hayes,no-match,,
rhennigha,rick hennighausen,no-match,,
rhumphrey,ryan humphrey,no-match,,
rkatsuta,ryoma katsuta,no-corroboration,,
rlee1,ryan lee,ambiguous,pennsylvania (void),years:1
rlewis,robert lewis,ambiguous,doublewide,city:austin years:2
rlinehan,rocco linehan,no-match,,
rmccabe,robby mccabe,no-match,,
rmcleod,ricky mcleod,no-match,,
rmendoza,ray mendoza,no-match,,
rodum,robby odum,no-match,,
rpalazzo,ray palazzo,no-match,,
rrabut,russell rabut,no-match,,
rsmith4,ryan smith,ambiguous,black market,years:1
rtetreaul,ray tetreault,no-match,,
rtirner,ryan tirner,no-match,,
rye,ruo ye,no-match,,
sastrom,sam astrom,no-match,,
sbesse,sam besse,no-match,,
sbisson,samuel bisson,no-match,,
sdavidson1,shannon davidson,no-match,,
sdillon,spencer dillon,no-corroboration,,
sdistrup,simon distrup,no-match,,
sfeder,sam feder,no-match,,
sfontaine,sam fontaine,no-match,,
sgasperin,simone gasperini,no-match,,
sgood,sam good,no-match,,
sgordonko,sam gordon-koven,no-corroboration,,
sharringt,sam harrington,no-match,,
sheslep,sam heslep,no-match,,
skapalan,sam kapalan,no-match,,
skilgore,samuel kilgore,no-match,,
smegerssa,solan megerssa,no-match,,
smogielsk,steve mogielski,no-match,,
smorrall,sam morrall,no-match,,
smunnis,sam munnis,no-match,,
spoitteso,sacha poitte-sokolsky,no-corroboration,,
sstark,sam stark,no-match,,
stagle,sam tagle,no-match,,
streacy,sean treacy,ambiguous,mad men,city:madison jersey:17 years:1
svogel,sascha vogel,no-match,,
sward,sam ward,no-match,,
swarrick,sam warrick,no-match,,
syanuck,sol yanuck,no-match,,
tbalfour,tevor balfour,no-match,,
tbarnett,ted barnett,no-match,,
tbrewster,thomas brewster,ambiguous,johnny bravo,city:colorado jersey:22 years:1
tgallaghe,tommy gallagher,no-match,,
tgesell,tanner gesell,no-match,,
tgoss,tony goss,no-match,,
thobday,tom hobday,no-corroboration,,
thodge,tre hodge,no-match,,
tjohnson1,tannor johnson-go,no-match,,
tkalmus,tucker kalmus,no-match,,
tli,tommy li,no-match,,
tlopez,tony lopez,no-match,,
tloria,thomas loria,no-match,,
tmaguire,thomas maguire,no-match,,
tmartin,tj martin,no-match,,
tmcgowan,teddy mcgowan,no-match,,
tmounga,tony mounga,no-match,,
tmurt,tyler murt,no-match,,
tpoletto,tony poletto,no-match,,
tpredmore,tim predmore,no-match,,
trepasky,tanner repasky,no-corroboration,,
tsither,ted sither,no-match,,
ttrompete,tommy trompeter,no-match,,
tverlaan,terrence-jaden verlaan,no-match,,
twilliams1,tyler williams,ambiguous,noise,city:madison years:1
vgamache,vincent gamache,no-match,,
vpost,val post,no-match,,
vwu,victor wu,no-corroboration,,
wbianca,will bianca,no-match,,
wbrandt,william brandt,no-match,,
wlewis,wilkie lewis,no-match,,
wlindquis,will lindquist,no-match,,
wmcglynn1,will mcglynn,no-match,,
wstewart,willie stewart,no-match,,
wtober,william tober,no-match,,
wturner1,will turner,no-corroboration,,
wwettenge,william wettengel,ambiguous,chicago machine,city:chicago jersey:77 years:3
zbraun,zach braun,no-match,,
zburnside,zach burnside,no-match,,
zguerrieo,zach guerrieo,no-match,,
zmarbach,zach marbach,no-corroboration,,
znorrbom,zach norrbom,no-match,,
zschakner,zac schakner,no-match,,
zslayton,zach slayton,no-match,,
zsmith,zack smith,ambiguous,emerald city,city:seattle jersey:97 years:1
zturner,zachery turner,no-match,,
