ufa_player_id,norm_name,club,n_evidence,evidence
tmurthy,tej murthy,,3,city:new york jersey:10;3 years:3
tnaquin,ty naquin,,2,jersey:28 years:2
tnguyen,tyler nguyen,,3,city:colorado jersey:27 years:3
tnye,thomas nye,,3,city:philadelphia jersey:22 years:2
tokita,tim okita,,3,city:san diego jersey:44 years:1
tpage,thomas page,,2,jersey:18 years:1
tperston,timmy perston,,3,city:portland jersey:13 years:1
tpeterson,tynan peterson,,3,city:montreal jersey:2 years:2
tpolisukb,trevor polisuk-balfour,,2,jersey:4 years:4
tpratt,travis pratt,,1,years:1
tpreston,thomas preston,,3,city:philadelphia jersey:2 years:1
tpuckrin,travis puckrin,,1,years:1
tpurdy,trevor purdy,,2,city:san diego jersey:55
trandall,tyler randall,,3,city:atlanta jersey:11 years:4
treinhard,tyler reinhardt,,3,city:dallas;houston jersey:13;34 years:4
triedl,thomas riedl,,2,jersey:95 years:1
troberts1,tanner roberts,,3,city:dallas jersey:98 years:5
trobinson,tanner robinson,,3,city:atlanta jersey:22 years:5
tsander,tynan sander,,3,city:san diego jersey:15 years:2
tsawatzky,trevor sawatzky,,2,city:austin years:2
tschaidhe,theo schaid hefley,,2,jersey:42 years:1
tschewe,ted schewe,,3,city:madison jersey:66 years:6
tschoch,tim schoch,,2,city:chicago years:2
tscott,trevor scott,,2,city:chicago years:1
tshanahan,tyler shanahan,,2,jersey:26 years:1
tshapinsk,theo shapinsky,,2,jersey:23 years:2
tshope,thomas shope,,1,years:3
tslack,thomas slack,,2,city:dallas jersey:27
tspinks,trenton spinks,,3,city:atlanta jersey:87 years:5
tstanton,tj stanton,,1,years:1
tstanton1,thomas stanton,,3,city:ottawa jersey:81 years:1
ttaylor,trey taylor,,1,years:1
tthomegre,tyler thomegreene,,2,jersey:7 years:4
tvandemoo,tristan van de moortele,,2,jersey:99 years:5
tvenneri,tony venneri,,2,city:seattle years:3
tward,thalia ward,,2,jersey:4 years:1
twarren,toby warren,,3,city:oakland jersey:31 years:2
twatkins,theodore watkins,fungi,1,years:2
twolma,todd wolma,,3,city:colorado jersey:35 years:1
twong,trey wong,,2,city:houston years:1
tyarter,tristan yarter,,3,city:new york;pittsburgh jersey:46 years:4
upatel,unmil patel,,2,jersey:25 years:1
valanguil,von alanguilan,,3,city:chicago jersey:10 years:1
vcalderon,vincent calderon,,2,city:raleigh years:1
vcurodeau,victor curodeau,,2,jersey:33 years:2
vgenest,vincent genest,,3,city:montreal jersey:16 years:1
vlemieux,vincent lemieux,,2,city:montreal jersey:6
vluo,victor luo,,3,city:chicago;madison jersey:10 years:6
vmader,vance mader,,2,city:austin years:2
vpria,victor pria,,2,city:atlanta years:1
vsachdeva,vedant sachdeva,,2,city:chicago years:3
vsauv,victor sauve,,3,city:montreal jersey:4 years:2
vvalsaraj,vinay valsaraj,,2,city:austin years:2
vzhivich,victor zhivich,,2,jersey:63 years:1
vzhou,victor zhou,,2,jersey:27 years:1
wanderson,watson anderson,,3,city:dallas jersey:42 years:2
wberreman,wyatt berreman,,2,jersey:98 years:4
wbrockman,warner brockman,,1,years:1
wbrooks,wyatt brooks,,2,city:pittsburgh years:1
wcasperso,will casperson,,3,city:madison jersey:11 years:3
wcoffin,william coffin,,2,jersey:12 years:5
wdickson,will dickson,,3,city:ottawa jersey:40 years:1
wdillende,will dillender-kinast,,2,jersey:99 years:3
wellard,walter ellard,,3,city:atlanta jersey:11 years:2
wfrankenb,walker frankenberg,,2,jersey:4 years:4
wfrolich,will frolich,,3,city:atlanta;chicago jersey:36 years:2
wgoal,willy goal,,3,city:dallas jersey:10 years:1
wgroth,wesley groth,,3,city:chicago;san diego jersey:22;33 years:2
whelenski,will helenski,,3,city:philadelphia jersey:15 years:1
whoffenka,will hoffenkamp,,3,city:pittsburgh jersey:24 years:3
wjansen,walt jansen,,3,city:chicago jersey:6 years:1
wjohnson1,walt johnson,,2,jersey:83 years:3
wkasprzyc,walter kasprzycki,,1,years:2
wkellman,wyatt kellman,,3,city:boston jersey:10 years:3
wkrisky,wyatt krisky,,2,city:pittsburgh years:1
wkrisky1,wyatt krisky,,2,city:pittsburgh years:1
wlohre,will lohre,,2,jersey:42 years:1
wlu,wayne lu,,1,jersey:50
wmatthews,walker matthews,,3,city:raleigh jersey:23 years:5
wmatthews1,wilson matthews,,3,city:chicago jersey:0;11 years:5
wmcdonald,will mcdonald,,2,jersey:51 years:2
wmekler,wyatt mekler,,1,jersey:48
wmiaw,wesley miaw,,1,city:dallas
wquigley,will quigley,,2,jersey:99 years:1
wsaxen,willie saxen,,2,city:seattle jersey:5
wselfridg,will selfridge,,3,city:atlanta;salt lake jersey:5;8 years:4
wstpierre,william st-pierre,,3,city:montreal jersey:10 years:4
wturner,will turner,,1,years:1
wvandenbr,wiebe van den brink,,1,years:1
wwallace,william wallace,,1,years:1
wyan,wes yan,,1,years:1
wzamsky,will zamsky,,2,city:philadelphia years:1
xcharles,xavier charles,,2,jersey:0 years:1
xdaniel,xavier daniel,,2,city:houston jersey:4
xfuzat,xavier fuzat,,3,city:houston jersey:10 years:3
xmaxstadt,xavier maxstadt,,2,jersey:80 years:1
xpayne,xavier payne,,3,city:chicago jersey:23 years:6
xprochask,xavier prochaska,,1,years:1
xschafer,xavier schafer,,1,years:4
ycohonner,ywan cohonner,,3,city:montreal jersey:22 years:4
ydemiralp,yigit demiralp,,2,city:boston years:1
ywang,yipeng wang,,2,jersey:38 years:2
